actividades con match IDU confiable (bandera ok): 183
delta total: -987206797
OJO, con unidad de medida DISTINTA a la del IDU: 29

== los 25 que mas mueven plata ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta
1118	2.5.3.2.3	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	M3	2015.15	584902.67	230570	-714032983
1116	2.5.3.2.1	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	M3	4195.45	224438.33	58471	-696307630
1117	2.5.3.2.2	Relleno para redes en arena de peña	M3	M3	1090.62	505499.11	182185	-352613025
961	2.4.3.1.1	Suministro tubería PVC flexible Ø12"	UN	ML	659	941852.76	533659	-268999685
535	2.3.3.1.3	excavacion mecanica	M3	M3	15867.6	79829.35	94195	227948369
1182	2.7.1.3.1	Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)	M3	M3	5936.25	79829.35	117926	226151247
1034	2.5.1.4.1	Construcción de caja de inspección doble norma CS276	UN	UN	113	5770200	3981431	-202130897
1027	2.5.1.3.2	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	ML	707.44	464651	649111	130494382
1040	2.5.1.5.3	Suministro cable 3x185 mm² Al XLPE 15 kV	ML	ML	1325.76	307400	229288	-103557765
102	2.2.2.6.3	Subbase granular SBG	M3	M2	2263.69	120348.37	77671	-96608335
685	2.3.4.1.3	excavacion mecanica	M3	M3	6372.6	79829.35	94195	91546534
104	2.2.2.6.5	Piedra rajón (mejoramiento subrasante)	M3	M3	2263.69	144708.17	182509	85569351
1177	2.7.1.2.4	Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking	ML	ML	390.14	1682020	1478460	-79416898
277	2.3.1.2.6	Jardineria	M2	M2	1230.39	65000	122393	70615773
1252	2.7.2.2.13	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.	UN	UN	4	117421118.12	102171257	-60999444
1187	2.7.1.3.6	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	5821.37	11840.49	21674	57244443
1331	2.9.1.2.2	RELLENO EN ARENA DE PEÑA	M3	M3	746.76	110000	182185	53905157
101	2.2.2.6.2	Subbase granular SBG (sello subrasante)	M3	M3	754.55	120348.37	182509	46903304
929	2.4.2.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	712.53	56603.21	117926	43694329
1241	2.7.2.2.2	Suministro y colocación de triturado 3/4	M3	M3	1375.14	149872.75	178829	39818892
1026	2.5.1.3.1	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	ML	552.32	347042	276443	-38993240
542	2.3.3.2.5	Jardineria	M2	M2	674	65000	122393	38682882
1183	2.7.1.3.2	Suministro y colocación de triturado 3/4	M3	M3	1312.25	149872.75	178829	37997796
1244	2.7.2.2.5	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	3804.3	11840.49	21674	37409634
427	2.3.2.2.3	Relleno Manual Tierra Negra X 30CM	M3	M3	1745.96	90000	111152	36930624

== TODAS, para revisar ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta	apu IDU
101	2.2.2.6.2	Subbase granular SBG (sello subrasante)	M3	M3	754.55	120348.37	182509	46903304	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACION MECANICA CON RETROEXCAVADORA, TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)
102	2.2.2.6.3	Subbase granular SBG	M3	M2	2263.69	120348.37	77671	-96608335	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
104	2.2.2.6.5	Piedra rajón (mejoramiento subrasante)	M3	M3	2263.69	144708.17	182509	85569351	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACION MECANICA CON RETROEXCAVADORA, TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)
109	2.2.3.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	0	2836.97	1919	0	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
118	2.2.3.3.1	M.O. instalación de bordillo prefabricado	ML	ML	0	41730.18	77801	0	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
124	2.2.3.5.1	Subbase granular SBG	M3	M2	0	120348.37	77671	0	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
128	2.2.4.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	0	2836.97	1919	0	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
131	2.2.4.2.1	Suministro pieza remate A-105 para rampa	UN	UN	0	95000	102699	0	PIEZA REMATE A105 PARA RAMPA TIPO A (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
133	2.2.4.2.3	Suministro sardinel alto A-86 para rampas	UN	ML	0	60000	65944	0	SARDINEL PREFABRICADO ALTO RAMPAS A86 (SUMINISTRO E INSTALACIÓN. SIN MATERIAL DE BASE)
134	2.2.4.2.4	Suministro sardinel bajo A-85 para rampa	UN	ML	0	55000	61413	0	CONSTRUCCIÓN PIEZA FUNDIDA EN SITIO SIMILAR A SARDINEL BAJO RAMPA. (INCLUYE SUMINISTRO Y COLOCACIÓN DE CONCRETO DE 3000 PSI GRAVA COMÚN, FORMALETA Y MANO DE OBRA)
135	2.2.4.2.5	Suministro sardinel especial A-100 para rampa	UN	UN	0	55000	68170	0	SARDINEL ESPECIAL A100 PARA RAMPA TIPO A (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
142	2.2.4.2.12	Arena de nivelación	M3	M2	0	150120	114489	0	PISO EN ADOQUIN DE ARCILLA 26X6X6CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM ARENA NIVELACIÓN Y ARENA DE SELLO)
145	2.2.4.3.2	M.O. instalación de bordillo prefabricado	ML	ML	0	41730.18	77801	0	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
146	2.2.4.3.3	M.O. instalación de sardinel prefabricado	ML	ML	0	41730.18	65944	0	SARDINEL PREFABRICADO ALTO RAMPAS A86 (SUMINISTRO E INSTALACIÓN. SIN MATERIAL DE BASE)
150	2.2.4.3.7	M.O. instalación pieza remate A-105	UN	UN	0	48000	102699	0	PIEZA REMATE A105 PARA RAMPA TIPO A (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
155	2.2.4.5.1	Subbase granular SBG	M3	M2	0	120348.37	77671	0	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
161	2.2.5.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	0	2836.97	1919	0	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
164	2.2.5.2.1	Suministro sardinel alto A-86 para rampas	ML	ML	0	60000	65944	0	SARDINEL PREFABRICADO ALTO RAMPAS A86 (SUMINISTRO E INSTALACIÓN. SIN MATERIAL DE BASE)
165	2.2.5.2.2	Suministro sardinel bajo A-85 para rampa	UN	ML	0	55000	61413	0	CONSTRUCCIÓN PIEZA FUNDIDA EN SITIO SIMILAR A SARDINEL BAJO RAMPA. (INCLUYE SUMINISTRO Y COLOCACIÓN DE CONCRETO DE 3000 PSI GRAVA COMÚN, FORMALETA Y MANO DE OBRA)
166	2.2.5.2.3	Suministro sardinel especial A-100 para rampa	UN	UN	0	55000	68170	0	SARDINEL ESPECIAL A100 PARA RAMPA TIPO A (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
167	2.2.5.2.4	Suministro y construcción de remate de rampa en concreto fundido en sitio	M2	UN	0	87656.49	167920	0	PIEZA DE REMATE PARA RAMPA PEATONAL, LONGITUD 1,40MTS FUNDIDO EN SITIO EN CONCRETO PREMEZCLADO DE 3000 PSI (GRAVA COMUN) INCLUYE FORMALETA EN MADERA. SUMINISTRO Y CONSTRUCCION.
173	2.2.5.2.10	Arena de nivelación	M3	M2	0	150120	114489	0	PISO EN ADOQUIN DE ARCILLA 26X6X6CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM ARENA NIVELACIÓN Y ARENA DE SELLO)
179	2.2.5.3.4	M.O. instalación de bordillo prefabricado	ML	ML	11.9	41730.18	77801	429243	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
181	2.2.5.3.6	M.O. instalación de sardinel prefabricado	ML	ML	0	41730.18	65944	0	SARDINEL PREFABRICADO ALTO RAMPAS A86 (SUMINISTRO E INSTALACIÓN. SIN MATERIAL DE BASE)
186	2.2.5.5.1	Subbase granular SBG	M3	M2	0	120348.37	77671	0	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
192	2.2.6.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	0	2836.97	1919	0	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
198	2.2.6.2.4	Arena de nivelación	M3	M2	0	150120	114489	0	PISO EN ADOQUIN DE ARCILLA 26X6X6CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM ARENA NIVELACIÓN Y ARENA DE SELLO)
203	2.2.6.3.4	M.O. instalación de bordillo prefabricado	ML	ML	0	41730.18	77801	0	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
209	2.2.6.5.1	Subbase granular SBG	M3	M2	0	120348.37	77671	0	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
244	2.2.8.1.24	Pictograma de bicicleta - Pintura acrílica	M2	UN	0	27799.77	17772	0	PICTOGRAMA DE CEDA EL PASO EN CICLORRUTA (4 TRIÁNGULOS), (PINTURA ACRÍLICA BASE AGUA (E= 15 MILS. INCLUYE SUMINISTRO Y APLICACIÓN CON EQUIPO. INCLUYE MICROESFERAS.
249	2.2.8.1.29	Tacha reflectiva bidireccional (Línea central)	UN	UN	0	13141.71	21787	0	TACHA REFLECTIVA BIDIRECCIONAL (INCLUYE SUMINISTRO E INSTALACIÓN).
250	2.2.8.1.30	Tacha reflectiva bidireccional (Línea de borde)	UN	UN	0	13141.71	21787	0	TACHA REFLECTIVA BIDIRECCIONAL (INCLUYE SUMINISTRO E INSTALACIÓN).
252	2.2.8.2.1	Señal vertical (0,60mx0,60m)	UN	UN	0	650076.61	514697	0	SEÑAL VERTICAL UNA CARA PARA CICLORUTA PARAL 3M, ÁNGULO DE 2X1/4X3M LAMINA CAL. 16 PINTADA POR UNA CARA 0.60M X 0.60M O 0.75M X 0.75M (INCLUYE SUMINISTRO E INSTALACIÓN)
253	2.2.8.2.2	Señal vertical ciclorruta doble (0,45m x 0,45m)	UN	UN	0	800296.48	797760	0	SEÑAL VERTICAL DE TRÁNSITO TIPO SR CON LÁMINA REFLECTIVA PARA CICLORUTA D=0.45M. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN
256	2.2.8.2.5	Señal vertical ciclorruta sencilla (0,45m x 0,45m)	UN	UN	0	656243.11	797760	0	SEÑAL VERTICAL DE TRÁNSITO TIPO SR CON LÁMINA REFLECTIVA PARA CICLORUTA D=0.45M. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN
257	2.2.8.2.6	Señal vertical SP-46A / SR-30	UN	UN	0	888750.3	434882	0	SEÑAL VERTICAL DE TRÁNSITO TIPO SP/SR CON LÁMINA RETRORREFLECTIVA PARA CICLORUTA DE 0.45 M X 0.45 M, INCLUYE POSTE. SUMINISTRO E INSTALACIÓN.
260	2.2.8.2.9	Señal vertical SPC-01 / SPC-01	UN	UN	0	800296.48	599695	0	SEÑAL VERTICAL GRUPO DE REGLAMENTARIAS SR-01 TIPO OCTAGONO CON ALTURA DE 75CM. INCLUYE SUMINISTRO E INSTALACION.
273	2.3.1.2.2	Relleno Material seleccionado(montañas)	M3	M3	671.36	67000	48122	-12673925	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
274	2.3.1.2.3	Relleno Manual Tierra Negra X 30CM	M3	M3	906.75	90000	111152	19179576	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
277	2.3.1.2.6	Jardineria	M2	M2	1230.39	65000	122393	70615773	PLANTACION DE JARDINERÍA DE PORTE ALTO. (INCLUYE SUMINISTRO AL SITIO DE OBRA, PLANTACION, TIERRA NEGRA Y ABONO. EN BOLSA DE 26" DE ALTURA DE 50CM A 80CM)
283	2.3.1.3.4	Base granular BG	M3	M3	146.69	251774.33	255369	527298	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
286	2.3.1.3.7	Malla electrosoldada	KG	KG	6318.9	7500	7569	436004	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
302	2.3.1.4.4	Base granular BG	M3	M3	52.51	251774.33	255369	188748	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
305	2.3.1.4.7	Malla electrosoldada	KG	KG	2261.87	7500	7569	156069	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
320	2.3.1.5.4	Base granular BG	M3	M3	9.94	251774.33	255369	35749	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
323	2.3.1.5.7	Malla electrosoldada	KG	KG	428.4	7500	7569	29560	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
348	2.3.1.8.5	Mejoramiento en rajon 0,25m	M3	M3	197.6	95000	191937	19154751	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACIÓN MECANICA CON EXCAVADORA MEDIANA SOBRE ORUGAS Y RODILLO VIBROCOMPACTADOR TANDEM (2,5 - 3,0 TON), TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)
382	2.3.1.9.18	Relleno Manual Tierra Negra X 30CM	M3	M3	124.8	90000	111152	2639770	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
398	2.3.1.10.13	Sum + MO Tuberia en acero galvanizado 2"	ML	ML	104	88000	71514	-1714544	TUBERIA EN ACERO GALVANIZADA D= 2" (NO INCLUYE RELLENOS). SUMINISTRO E INSTALACIÓN.
403	2.3.1.11.3	Relleno en arena peña	M3	M3	103.23	110000	182185	7451882	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
404	2.3.1.11.4	Relleno con mezcla de gravilla de 3/4" y arena de rio	M3	M3	306.9	135000	223097	27036674	RELLENO CON MEZCLA DE GRAVILLA DE 3/4" Y ARENA DE RIO (RELACIÓN 1:1) SUMINISTRO Y COLOCACIÓN. (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN).
413	2.3.1.11.13	Caja de desague h=1 m, incluye marco y tapa	UN	UN	25	1200000	2291728	27293200	CAJA DE PASO SENCILLA EN CALZADA ETB (INCLUYE BASE, MUROS, PAÑETE, BORDILLO PERIMETRAL, MARCO Y TAPA). MEDIDAS EXTERNAS: 1.10 X 1.00M. MEDIDAS INTERNAS 0.60X0.50M. ALTURA: 1.33M.
414	2.3.1.11.14	Sumidero de concreto prefabricado	UN	UN	4	1200000	1548481	1393924	SUMIDERO PARA CANAL DE DRENAJE PREFABRICADO EN POLYCONCRETO CON REJA DE FUNDICIÓN, PD-150V, CLASE DE CARGA D400, LONG=500MM, H= 575 MM, ANCHO= 180 MM, EN COLOR NATURAL, (NO INCLUYE: EXCAVACIÓN, CONCRETO, DRENAJE, RELLENOS, TAPAS O ACCESORIOS)
426	2.3.2.2.2	Relleno Material seleccionado(montañas)	M3	M3	1866.48	67000	48122	-35235409	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
427	2.3.2.2.3	Relleno Manual Tierra Negra X 30CM	M3	M3	1745.96	90000	111152	36930624	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
430	2.3.2.2.6	Jardineria	M2	M2	596.65	65000	122393	34243533	PLANTACION DE JARDINERÍA DE PORTE ALTO. (INCLUYE SUMINISTRO AL SITIO DE OBRA, PLANTACION, TIERRA NEGRA Y ABONO. EN BOLSA DE 26" DE ALTURA DE 50CM A 80CM)
436	2.3.2.3.4	Base granular BG	M3	M3	452.87	251774.33	255369	1627905	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
439	2.3.2.3.7	Malla electrosoldada	KG	KG	19508.08	7500	7569	1346057	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
455	2.3.2.4.4	Base granular BG	M3	M3	96.72	251774.33	255369	347677	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
458	2.3.2.4.7	Malla electrosoldada	KG	KG	4166.4	7500	7569	287482	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
475	2.3.2.5.4	Base granular BG	M3	M3	30.81	251774.33	255369	110752	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
478	2.3.2.5.7	Malla electrosoldada	KG	KG	1327.2	7500	7569	91577	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
506	2.3.2.8.5	Mejoramiento en rajon 0,25m	M3	M3	128.62	95000	191937	12468522	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACIÓN MECANICA CON EXCAVADORA MEDIANA SOBRE ORUGAS Y RODILLO VIBROCOMPACTADOR TANDEM (2,5 - 3,0 TON), TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)
514	2.3.2.9.3	Relleno en arena peña	M3	M3	96.57	110000	182185	6971116	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
515	2.3.2.9.4	Relleno con mezcla de gravilla de 3/4" y arena de rio	M3	M3	231.07	135000	223097	20356190	RELLENO CON MEZCLA DE GRAVILLA DE 3/4" Y ARENA DE RIO (RELACIÓN 1:1) SUMINISTRO Y COLOCACIÓN. (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN).
523	2.3.2.9.12	Caja de desague h=1 m, incluye marco y tapa	UN	UN	18	1200000	2291728	19651104	CAJA DE PASO SENCILLA EN CALZADA ETB (INCLUYE BASE, MUROS, PAÑETE, BORDILLO PERIMETRAL, MARCO Y TAPA). MEDIDAS EXTERNAS: 1.10 X 1.00M. MEDIDAS INTERNAS 0.60X0.50M. ALTURA: 1.33M.
524	2.3.2.9.13	Sumidero de concreto prefabricado	UN	UN	2	1200000	1548481	696962	SUMIDERO PARA CANAL DE DRENAJE PREFABRICADO EN POLYCONCRETO CON REJA DE FUNDICIÓN, PD-150V, CLASE DE CARGA D400, LONG=500MM, H= 575 MM, ANCHO= 180 MM, EN COLOR NATURAL, (NO INCLUYE: EXCAVACIÓN, CONCRETO, DRENAJE, RELLENOS, TAPAS O ACCESORIOS)
535	2.3.3.1.3	excavacion mecanica	M3	M3	15867.6	79829.35	94195	227948369	EXCAVACIÓN MECÁNICA EN TÚNEL.
539	2.3.3.2.2	Relleno Manual Tierra Negra X 30CM	M3	M3	1510.53	90000	111152	31950699	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
542	2.3.3.2.5	Jardineria	M2	M2	674	65000	122393	38682882	PLANTACION DE JARDINERÍA DE PORTE ALTO. (INCLUYE SUMINISTRO AL SITIO DE OBRA, PLANTACION, TIERRA NEGRA Y ABONO. EN BOLSA DE 26" DE ALTURA DE 50CM A 80CM)
