EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Acabado sintetico
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM MES ; Costo Fideicomiso
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 01
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 02
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 03
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 04
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 05
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 07
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 08
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) ETAPA 09
COSTOS GESTION AMBIENTAL (CAR) > CAR - (ACTIVIDADES POR EJECUTAR) ; UM % ; COSTOS GESTION AMBIENTAL (CAR) GENERAL
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Cruce ciclorruta por calzada (0,4m x 0,4m) - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Cruce ciclorruta por calzada (Color azul) - Pintura de dos componentes metil metacrilato
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D2-01 troncos de equilibrio en madera
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D2-02 laberinto de troncos
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM UN ; D5-01 casa con malla y deslizadero
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D5-02 deslizadero recto en polimero
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D5-03 columpio en canasta
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM UN ; D5-04 Columpio Convencional doble estruc. Madera
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D5-05 red piramidal pequeña
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM UN ; D5-06 red de escalar hexa piramidal
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D5-07 arco con red y rocodromo
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM UN ; D5-08 juego de rotacion
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ14 ; UM UN ; D5-09 presas infantiles de escalada
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; D5-10,11,12 juegos de muelle
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM ML ; Demarcacion cicloruta
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Demarcación de letras - Pintura acrílica
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Demarcación de rampas de pompeyano (Color amarillo) - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Demarcación máxima velocidad permitida (20 km/h) - Pintura de dos componentes metil metacrilato
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; Demolicion cabezal existente de entrada
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M2 ; Demolición de pavimento flexible
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M2 ; Demolición y reposición de andén
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Descapote con botadero certificado
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM KG ; Descargue y acopio de tubería
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GB ; Descargue y acopio de tubería en concreto
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Dren filtro 100 mm(filtro frances)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Dren filtro 200 mm (filtro frances)
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; ELABORACION PLAN MANEJO AMBIENTAL
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; ELABORACION PLAN MANEJO DE TRANSITO
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM JG ; Empalme premoldeado 15 kV
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Empate a punto de conexión
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM GB ; EMPATE A PUNTO DE CONEXIÓN (INCLUYE UNIONES DE REPARACION Y ACCESORIOS)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate a red existente Ø12"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate a red existente Ø4"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate a red existente Ø6"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Empate de domiciliaria a pozo o colector
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate en tee Ø6" × Ø6"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate en tee Ø8" × Ø2"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Empate en tee Ø8" × Ø6"
PERFILES VIALES (VIAS-ANDENES) > ZONA VERDE ; UM M2 ; Empradización y conformación
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM GLB ; ENSAYOS DE CALIDAD
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M2 ; Entibado para excavaciones >3m
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Equipamiento hidromecánico VRP costado norte
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Equipamiento hidromecánico VRP costado sur
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Estructura de transición aérea-subterránea MT en punto de conexión
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Estudio de gestión predial
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 01
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 02
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 03
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 04
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 05
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 07
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 08
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS ETAPA 09
ESTUDIOS Y DISEÑOS > ESTUDIOS Y DISEÑOS (ACTIVIDADES POR EJECUTAR) ; UM % ; ESTUDIOS Y DISEÑOS GENERAL
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M3 ; Excavación en conglomerado
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Excavacion manual de muro contencion con zarpa
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Excavacion manual de vigas cerramiento y zanjas filto perimetral
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M3 ; Excavación manual en material común
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Excavación manual para bioswale/bioretenedor
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM M3 ; Excavación manual para redes profundidad 0-2 m (incluye cargue)
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM M3 ; EXCAVACIÓN MANUAL, INCLUYE RETIRO INTERNO DE ESCOMBROS
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ14 ; UM M3 ; excavacion mecanica
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M3 ; Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Excavacion mecanica material
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Excavacion y retiro a maquina con batadero certificado
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE GAS ; UM ML ; Excavaciones, atraque en arena, rellenos e instalación de cinta para red de gas
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Filtro perimetral a todo costo
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha a la derecha - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha a la derecha o a la izquierda - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha a la izquierda - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha de frente - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha de frente o a la derecha - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha de frente o a la izquierda - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha de frente para ciclocarril - Pintura acrílica
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Flecha de frente, a la derecha o a la izquierda - Pintura de dos componentes metil metacrilato
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Fusible limitador de corriente norma CTS507
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Gastos de mantenimiento
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Gastos notariales, beneficencia y registro de Servidumbres
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Geomembrana impermable HDPE 1mm
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M2 ; Geotextil NT 1600
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Geotextil tejido 1600
