actividades nivel 5: 1456
valor total nivel 5 hoy: 226264209876

== A) EFECTO DE APLICAR EL PRECIO IDU 2026 DONDE HAY REFERENCIA ==
bandera	actividades	valor actual	delta si se aplica IDU
ok	183	13538025155	-987206760
ok (vs INSUMO: IDU es solo material)	26	180501395	105960297
REVISAR: MUY POR DEBAJO de IDU	78	7880978972	17118129745
REVISAR: MUY POR ENCIMA de IDU	126	19504625567	-15642637462
REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)	9	7350098580	-7347436775
sin referencia	1034	177809980206	0

== B) MISMO NOMBRE, PRECIO DISTINTO (hay que unificar) ==
nombre	variantes	precios	precio IDU	bandera	propuesto	delta
grupos: 0 | delta total: 0

== C) FAMILIAS PARECIDAS CON PRECIO DISTINTO (revisar a mano) ==
familia	actividad	UM	VU libro	VU IDU	ratio	bandera	veces
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9A	%	1120996984.53	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9B	%	1038040215.43	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9C	%	904201859.64	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9D	%	1177106284.75	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9E	%	0	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB GENERAL	%	85426423857.6	0	0	sin referencia	1
arcos metalicos	Arcos metalicos de microfutbol altura 1,80 x 2,5 ancho	UN	1815000	0	0	sin referencia	2
arcos metalicos	Arcos metalicos de futbol(incluyen malla)	UN	4950000	0	0	sin referencia	1
banco ductos	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	347042	276443	1.26	ok	1
banco ductos	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	464651	649111	0.72	ok	1
banco ductos	Suministro e instalación de banco de ductos PVC-TDP 12Ø6"	ML	848000	649111	1.31	ok	1
banco ductos	Suministro e instalación de banco de ductos PVC-TDP 9Ø6"	ML	921310	649111	1.42	ok	1
base granular	Base granular BG	M3	251774.33	255369	0.99	ok	12
base granular	base granular 0,20m idu	M3	236515	15099	15.66	REVISAR: MUY POR ENCIMA de IDU	7
base granular	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	584902.67	230570	1.27	ok	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø12"-Ø16" (incluye aletas y solado)	UN	8500000	0	0	sin referencia	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø18"-Ø24" (incluye aletas y solado)	UN	12500000	0	0	sin referencia	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø8"-Ø10" (incluye aletas y solado)	UN	6000000	0	0	sin referencia	1
caja maniobra	Caja de maniobra pedestal de 5 vías ET512 Fig. 4	UN	106000000	0	0	sin referencia	1
caja maniobra	Caja de maniobra pedestal de 3 vías ET512 Fig. 1	UN	79500000	0	0	sin referencia	1
canalizacion banco	Canalización banco de ductos TDP PVC 8Ø3" EPM RS1-003	ML	603371.15	0	0	sin referencia	1
canalizacion banco	Canalización banco de ductos TDP PVC 7Ø3" EPM RS1-003	ML	445234.03	0	0	sin referencia	1
canalizacion banco	Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	ML	452504.52	1345327	0.17	REVISAR: MUY POR DEBAJO de IDU	1
canalizacion banco	Canalización banco de ductos TDP PVC 5Ø3" EPM RS1-003	ML	377075.97	0	0	sin referencia	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de acueducto)	ML	9010000	254780	35.36	REVISAR: MUY POR ENCIMA de IDU	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de alcantarillado sanitario)	ML	12720000	0	0	sin referencia	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de alcantarillado pluvial)	ML	800000	0	0	sin referencia	1
cinta senalizacion	Cinta de señalización	ML	508.01	1094	0.46	ok	3
cinta senalizacion	Cinta de señalización para red de media tensión	ML	1696	0	0	sin referencia	1
codo 11	Codo 11,25° Ø4"	UN	311640	134877	2.31	REVISAR: MUY POR ENCIMA de IDU	1
codo 11	Codo 11,25° Ø6"	UN	527880	304534	1.73	ok	1
codo 11	Codo 11,25° Ø8"	UN	767440	606781	1.26	ok	1
codo 11	Codo 11,25° Ø12"	UN	1299560	1690591	0.77	ok	1
codo 22	Codo 22,5° Ø6"	UN	737760	338771	2.18	ok	1
codo 22	Codo 22,5° Ø8"	UN	1071660	703493	1.52	ok	1
codo 22	Codo 22,5° Ø12"	UN	1815780	2095131	0.87	ok	1
codo 45	Codo 45° Ø6"	UN	664620	328958	2.02	ok	1
codo 45	Codo 45° Ø8"	UN	965660	898567	1.07	ok	1
codo 45	Codo 45° Ø12"	UN	1635580	2673808	0.61	ok	1
codo 90	Codo 90° Ø6"	UN	697480	376664	1.85	ok	1
codo 90	Codo 90° Ø8"	UN	1013360	1342870	0.75	ok	1
codo 90	Codo 90° Ø12"	UN	1716140	3937485	0.44	REVISAR: MUY POR DEBAJO de IDU	1
construccion caja	Construcción de caja para válvulas de gas	UN	924678.07	0	0	sin referencia	1
construccion caja	Construcción de caja de inspección doble norma CS276	UN	5770200	3981431	1.45	ok	1
construccion conexion	Construcción y conexión de acometida Ø1"	UN	1590000	195578	8.13	REVISAR: MUY POR ENCIMA de IDU	1
construccion conexion	Construcción y conexión de acometida Ø2"	UN	2120000	124640	17.01	REVISAR: MUY POR ENCIMA de IDU	1
construccion conexion	Construcción y conexión de acometida Ø3"	UN	2650000	0	0	sin referencia	1
construccion conexion	Construcción y conexión de acometida Ø4"	UN	3392000	98251	34.52	REVISAR: MUY POR ENCIMA de IDU	1
construccion conexion	Construcción de conexión domiciliaria sanitaria Ø8"	UN	1272000	0	0	sin referencia	1
construccion contenedor	Suministro y construcción de contenedor de raíces (Dimensiones: 2,0x1,2m). Incluye tierra negra	UN	2442321.97	2059073	1.19	ok	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo A (2,00x2,20)m	UN	4477590.28	2059073	2.17	ok	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo B (1,50x2,20)m	UN	3358192.71	974631	3.45	REVISAR: MUY POR ENCIMA de IDU	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo C (1,20x2,20)m	UN	2686554.17	974631	2.76	REVISAR: MUY POR ENCIMA de IDU	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo D (0,84x4,20)m	UN	3590213.3	0	0	sin referencia	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo E (0,70x4,20)m	UN	2991844.42	0	0	sin referencia	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo F (0,70x4,20)m	UN	2991844.42	0	0	sin referencia	1
construccion pozos	Construcción de pozos de lanzamiento	UN	541481565.4	0	0	sin referencia	1
construccion pozos	Construcción de pozos de salida	UN	398057499.4	0	0	sin referencia	1
construccion pozos	Construcción de pozos intermedios	UN	128990281.5	0	0	sin referencia	2
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 1	%	12700139793.85	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 2	%	3665203923.61	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3	%	1733118405.57	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3A	%	195447152.15	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3B	%	2410679445.07	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4	%	801751985.66	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4A	%	410984926.96	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4B	%	1387833434.34	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4C	%	195223463.77	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4D	%	115374134.61	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4E	%	10913390535.84	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4F	%	528064742.65	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5	%	351491589	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5A	%	1427427914.61	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5B	%	266776874.69	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5C	%	301431583.46	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5D	%	512579428.99	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5E	%	1099229718.15	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5F	%	330894660.52	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5G	%	1056202179.71	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 7	%	4088359645.87	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8	%	4146250347.13	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8A	%	1909929188.63	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8B	%	1426172944.99	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8C	%	1308643446.73	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8D	%	343041214.91	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9	%	694632480.57	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9A	%	1120996984.53	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9B	%	1038040215.43	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9C	%	904201859.64	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9D	%	1177106284.75	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9E	%	0	0	0	sin referencia	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) GENERAL	%	85426423857.6	0	0	sin referencia	1
dren filtro	Dren filtro 100 mm(filtro frances)	ML	80000	0	0	sin referencia	3
dren filtro	Dren filtro 200 mm (filtro frances)	ML	110000	0	0	sin referencia	4
empate tee	Empate en tee Ø6" × Ø6"	UN	13389920	1983390	6.75	REVISAR: MUY POR ENCIMA de IDU	1
empate tee	Empate en tee Ø8" × Ø2"	UN	10563960	1117192	9.46	REVISAR: MUY POR ENCIMA de IDU	1
empate tee	Empate en tee Ø8" × Ø6"	UN	16361100	3309710	4.94	REVISAR: MUY POR ENCIMA de IDU	1
emulsion asfaltica	Suministro y colocación de Emulsión Asfáltica de Rompimiento Lento CRL-1 (Imprimación)	M2	3398.21	3721	0.91	ok	1
emulsion asfaltica	Suministro y colocación de Emulsión Asfáltica de Rompimiento rápido CRR-2 (Riego de liga)	M2	4077.86	4114	0.99	ok	1
entibado continuo	Entibado continuo E-1A, H≤2,00 m	M2	52205	0	0	sin referencia	3
entibado continuo	Entibado continuo E-1B, 2,00<H≤3,00 m	M2	95400	0	0	sin referencia	3
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 1	%	12700139793.85	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 2	%	3665203923.61	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3	%	1733118405.57	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3A	%	195447152.15	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3B	%	2410679445.07	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4	%	801751985.66	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4A	%	410984926.96	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4B	%	1387833434.34	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4C	%	195223463.77	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4D	%	115374134.61	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4E	%	10913390535.84	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4F	%	528064742.65	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5	%	351491589	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5A	%	1427427914.61	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5B	%	266776874.69	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5C	%	301431583.46	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5D	%	512579428.99	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5E	%	1099229718.15	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5F	%	330894660.52	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5G	%	1056202179.71	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 7	%	4088359645.87	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8	%	4146250347.13	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8A	%	1909929188.63	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8B	%	1426172944.99	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8C	%	1308643446.73	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8D	%	343041214.91	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9	%	694632480.57	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9A	%	1120996984.53	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9B	%	1038040215.43	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9C	%	904201859.64	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9D	%	1177106284.75	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9E	%	0	0	0	sin referencia	1
estudios disenos	ESTUDIOS Y DISEÑOS GENERAL	%	85426423857.6	0	0	sin referencia	1
excavacion manual	Excavacion manual de vigas cerramiento y zanjas filto perimetral	M3	35000	0	0	sin referencia	3
excavacion manual	Excavacion manual de muro contencion con zarpa	M3	35000	0	0	sin referencia	3
excavacion manual	Excavación manual para bioswale/bioretenedor	M3	115000	0	0	sin referencia	1
excavacion manual	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	224438.33	58471	1.92	ok	1
excavacion manual	EXCAVACIÓN MANUAL, INCLUYE RETIRO INTERNO DE ESCOMBROS	M3	30000	0	0	sin referencia	1
extendida compactacion	Suministro, extendida y compactación de Rodadura Asfáltica MDC-19	M3	1112765.68	0	0	sin referencia	1
extendida compactacion	Suministro, extendida y compactación de Capa intermedia asfáltica MDC-25	M3	1058203.95	0	0	sin referencia	1
extendida compactacion	Suministro, extendida y compactación de Rodadura Asfáltica MD-13	M3	1173933.34	0	0	sin referencia	1
flecha frente	Flecha de frente - Pintura de dos componentes metil metacrilato	M2	73290.31	0	0	sin referencia	1
flecha frente	Flecha de frente o a la derecha - Pintura de dos componentes metil metacrilato	M2	73290.31	0	0	sin referencia	1
flecha frente	Flecha de frente o a la izquierda - Pintura de dos componentes metil metacrilato	M2	73290.31	0	0	sin referencia	1
flecha frente	Flecha de frente para ciclocarril - Pintura acrílica	M2	27799.77	0	0	sin referencia	1
flecha frente	Flecha de frente, a la derecha o a la izquierda - Pintura de dos componentes metil metacrilato	M2	73290.31	0	0	sin referencia	1
geotextil tejido	Geotextil tejido 2100	M2	7523.8	0	0	sin referencia	21
geotextil tejido	Geotextil tejido 2400	M2	11840.49	19656	0.6	ok (vs INSUMO: IDU es solo material)	13
geotextil tejido	Geotextil tejido 1600	M2	17000	0	0	sin referencia	2
geotextil tejido	Suministro y colocación de geotextil Tejido 2400	M2	11840.49	21674	0.55	ok	2
imprevistos subetapa	IMPREVISTOS SUBETAPA 1	%	12700139793.85	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 2	%	3665203923.61	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3	%	1733118405.57	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3A	%	195447152.15	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3B	%	2410679445.07	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4	%	801751985.66	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4A	%	410984926.96	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4B	%	1387833434.34	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4C	%	195223463.77	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4D	%	115374134.61	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4E	%	10913390535.84	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4F	%	528064742.65	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5	%	351491589	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5A	%	1427427914.61	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5B	%	266776874.69	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5C	%	301431583.46	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5D	%	512579428.99	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5E	%	1099229718.15	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5F	%	330894660.52	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5G	%	1056202179.71	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 6	%	1691950009.99	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 7	%	4088359645.87	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8	%	4146250347.13	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8A	%	1909929188.63	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8B	%	1426172944.99	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8C	%	1308643446.73	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8D	%	343041214.91	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9	%	694632480.57	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9A	%	1120996984.53	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9B	%	1038040215.43	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9C	%	904201859.64	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9D	%	1177106284.75	0	0	sin referencia	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9E	%	0	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (GENERAL)	GL	163278318.86	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 01)	GL	24314513.03	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 02)	GL	18526047.91	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 03)	GL	87898908.91	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 07)	GL	5083377.46	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (GENERAL)	GL	648418128.29	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 01)	GL	96558876.52	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 02)	GL	73571466.18	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 03)	GL	349068059.94	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 04)	GL	315256695.09	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 05)	GL	577733222.62	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 07)	GL	20187334.84	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (GENERAL)	GL	1069320369.01	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 01)	GL	149464998.07	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 02)	GL	113882425.38	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 03)	GL	575655692.48	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 04)	GL	519896638.94	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 05)	GL	952752361.24	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 07)	GL	33291370.8	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (GENERAL)	GL	1283533093.27	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 03)	GL	677241738.09	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 04)	GL	624045478.33	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 05)	GL	1143613477.11	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 07)	GL	39960499.57	0	0	sin referencia	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 08)	GL	1319893070.1	0	0	sin referencia	1
