REVISION DE LOS 224 MARCADOS 'REVISAR' DEL BARRIDO IDU 2026-I   (2026-09-13, Claude)

CONCLUSION: NO se aplico ninguno. La mayoria son MALOS EMPATES del cruce
automatico por nombre, no diferencias reales de precio. Aplicarlos habria
sacado 12.883.530.887 del presupuesto sobre bases falsas.

Reparto:
  143 de los 224 tienen CANTIDAD 0 -> no mueven plata (solo importan a futuro)
   81 mueven plata

Por que fallan los empates (revisado uno a uno los 81):
  - COMPONENTE contra CONJUNTO: 'base, cono y tapa para pozo' empato con 'CONO
    POZO'; 'Suministro e instalacion de sumidero' empato con 'MARCO REJILLA
    SUMIDERO'. El IDU es una pieza, el libro es el elemento completo.
  - DIAMETRO DISTINTO: 'Tuberia GRP 92"' empato con 'TUBERIA GRP 300MM' (12").
  - NOMBRE GENERICO: 'Suministro de Tuberia', 'Concreto 3000 psi' -> el cruce
    los pega con cualquier cosa que comparta palabras.
  - INSUMO contra APU: 'LIMPIEZA DE LODOS' (global) empato con el alquiler del
    'EQUIPO DE PRESION-SUCCION'. Ratio 2.763 a 1.
  - DISPARATES: 'Transporte de tuberia en concreto' (KG) con 'TUBERIA GRP';
    'Transporte de escombros' con 'DESCABECE DE PILOTES'; 'recebo' con
    'MURETE CONTENEDOR DE ZONA VERDE'.

LO QUE SI VALE LA PENA MIRAR (inconsistencias internas del libro, no del IDU):

1. EXCAVACION MECANICA EN MATERIAL COMUN, mismo concepto y misma unidad (M3),
   con TRES precios distintos en el libro:
      f679    79829        Excavación mecánica en material común
      f11     79829        Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)
      f1167   79829        Excavacion mecanica material
      f12     79829        Excavación mecánica en material común (Incluye cargue, transporte y disposición interna)
   (y una cuarta fila ya quedo alineada al IDU en 94.195 con el barrido)
   Hay que decidir cual rige y unificarlas.

2. UNIDADES QUE NO TIENEN SENTIDO, revisar la unidad antes que el precio:
      f226    PULG   Instalación de tubería de alcantarillado en concreto
      f712    UN     Suministro tubería PVC flexible Ø30"
      f233    KG     Transporte de tubería en concreto
      f705    UN     Suministro tubería PVC flexible Ø8"
      f708    UN     Suministro tubería PVC flexible Ø14"
      f1294   UN     Suministro tubería PVC flexible Ø20"
      f250    KG     Alambre negro
      f706    UN     Suministro tubería PVC flexible Ø10"

3. Los 143 en cantidad cero: no urgen, pero si alguna vez se cargan cantidades
   heredan estos precios sin revisar.

LISTADO COMPLETO DE LOS 81 QUE MUEVEN PLATA
fila	actividad	UM	cantidad	VU libro	VU IDU	delta si se aplicara	bandera	con que empato en el IDU
1141	base granular 0,20m idu	M3	585.17	236515	15099	-129565742	REVISAR: MUY POR ENCIMA de IDU	ESTABILIZACIÓN DE BASE GRANULAR CON EMULSIÓN + CEMENTO 5% E= 0.20M
665	Válvula ventosa	UN	22	7420000	1614844	-127713432	REVISAR: MUY POR ENCIMA de IDU	VÁLVULA VENTOSA HD COMBINADA TRIPLE ACCIÓN (TRIPLE EFECTO) D=3" EXTREMO BRIDA CLASE 150 (Suministro e instalacion)
705	Suministro tubería PVC flexible Ø8"	UN	411	448152	160366	-118279927	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
1167	Excavacion mecanica material	M3	1566.74	79829	5998	-115674859	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
1282	Suministro de Tubería GRP 48"	ML	54	2366187	438466	-104096924	REVISAR: MUY POR ENCIMA de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
803	CERRAMIENTO POLISOMBRA	M2	3532.24	28000	2147	-91319001	REVISAR: MUY POR ENCIMA de IDU	POLISOMBRA VERDE PARA CERRAMIENTO. (INCLUYE SUMINISTRO E INSTALACION).
708	Suministro tubería PVC flexible Ø14"	UN	98	1411492	641522	-75457026	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC D=14" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
1294	Suministro tubería PVC flexible Ø20"	UN	15.45	2900000	523908	-36710621	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=20" (INCLUYE SUMINISTRO E INSTALACIÓN)
706	Suministro tubería PVC flexible Ø10"	UN	37	654547	242906	-15230707	REVISAR: MUY POR ENCIMA de IDU	TUBERÍA PVC SANITARIA D=10" TIPO U.S. (Incluye suministro e instalación)
977	Reducción concéntrica Ø12" × Ø8"	UN	6	3936840	1748855	-13127910	REVISAR: MUY POR ENCIMA de IDU	REDUCCION CONCENTRICA HD 12"X6" (SUMINISTRO E INSTALACIÓN)
989	Empate en tee Ø8" × Ø6"	UN	1	16361100	3309710	-13051390	REVISAR: MUY POR ENCIMA de IDU	TEE PVC U.M. 8" X 6" (SUMINISTRO E INSTALACIÓN)
987	Empate en tee Ø6" × Ø6"	UN	1	13389920	1983390	-11406530	REVISAR: MUY POR ENCIMA de IDU	EMPATE ORTOGONAL PVC-PVC 6"X4" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE 6"X4"PVC, 4 UNIONES, TUBERÍA RDE 21) (SUMINISTRO E INSTALACIÓN)
971	Reducción concéntrica Ø4" × Ø2"	UN	18	822560	234394	-10586988	REVISAR: MUY POR ENCIMA de IDU	REDUCCION CONCENTRICA HD 4" X 2" (SUMINISTRO E INSTALACIÓN).
797	SUMINISTRO E INSTALACIÓN CINTA PREVENTIVA REDES	ML	1766.12	6000	531	-9658910	REVISAR: MUY POR ENCIMA de IDU	SEÑALIZACIÓN PREVENTIVA PARA REDES DE SERVICIOS PÚBLICOS CON CINTA DE 500 MT X 4" PELIGRO CALIBRE 3.5 (INCLUYE SUMINISTRO Y COLOCACIÓN)
972	Reducción concéntrica Ø4" × Ø3"	UN	11	1005940	282870	-7953770	REVISAR: MUY POR ENCIMA de IDU	REDUCCIÓN CONCENTRICA HD EL 4" X 3". SUMINISTRO E INSTALACIÓN.
1137	mortero de nivelacion	M3	17.22	480000	82582	-6844810	REVISAR: MUY POR ENCIMA de IDU	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. INCLUYE 3CM MORTERO DE NIVELACIÓN 2000 PSI)
979	Tapón Ø2"	UN	27	227900	6016	-5990868	REVISAR: MUY POR ENCIMA de IDU	TAPON DE PRUEBA PVC SANITARIA D=2" (INCLUYE SUMINISTRO E INSTALACIÓN)
976	Reducción concéntrica Ø8" × Ø6"	UN	3	2476160	803555	-5017815	REVISAR: MUY POR ENCIMA de IDU	REDUCCIÓN CONCENTRICA HD EL 8" X 6". SUMINISTRO E INSTALACIÓN.
980	Tapón Ø3"	UN	14	369940	85764	-3978464	REVISAR: MUY POR ENCIMA de IDU	TAPON PVC TIPO U.M. D=3" (SUMINISTRO E INSTALACIÓN)
974	Reducción concéntrica Ø6" × Ø4"	UN	3	1598480	560019	-3115383	REVISAR: MUY POR ENCIMA de IDU	REDUCCION CONCENTRICA HD 6" X 4" (SUMINISTRO E INSTALACIÓN).
982	Tapón Ø6"	UN	5	850120	243337	-3033915	REVISAR: MUY POR ENCIMA de IDU	TAPON PVC TIPO U.M. D=6" (SUMINISTRO E INSTALACIÓN)
259	Tapón 2"	UN	27	85212	6016	-2138279	REVISAR: MUY POR ENCIMA de IDU	TAPON DE PRUEBA PVC SANITARIA D=2" (INCLUYE SUMINISTRO E INSTALACIÓN)
975	Reducción concéntrica Ø8" × Ø4"	UN	1	2026720	282870	-1743850	REVISAR: MUY POR ENCIMA de IDU	REDUCCIÓN CONCENTRICA HD EL 4" X 3". SUMINISTRO E INSTALACIÓN.
973	Reducción concéntrica Ø6" × Ø2"	UN	2	1195680	536004	-1319352	REVISAR: MUY POR ENCIMA de IDU	REDUCCION CONCENTRICA HD 6"X3" (SUMINISTRO E INSTALACIÓN)
981	Tapón Ø4"	UN	2	522580	109473	-826214	REVISAR: MUY POR ENCIMA de IDU	TAPON PVC TIPO U.M. D=4" (SUMINISTRO E INSTALACIÓN)
1198	Suministro tubería PVC flexible Ø6"	UN	2	340000	93174	-493652	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC SANITARIA D=6" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
261	Tapón 4"	UN	2	293052	109473	-367159	REVISAR: MUY POR ENCIMA de IDU	TAPON PVC TIPO U.M. D=4" (SUMINISTRO E INSTALACIÓN)
945	Codo 11,25° Ø4"	UN	1	311640	134877	-176763	REVISAR: MUY POR ENCIMA de IDU	CODO G.RAD. PVC 11.25° TIPO U.M. D=4" RDE 21 (SUMINISTRO E INSTALACIÓN)
978	Tapón Ø1"	UN	1	98580	1805	-96775	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)	TAPON PVC SOLDADO D=1"
1199	Instalación tubería PVC flexible Ø6"	ML	7.26	30000	93174	458643	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=6" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
23	Relleno con material seleccionado B-200	M3	5.44	101915	230522	699621	REVISAR: MUY POR DEBAJO de IDU	GEOCOMPUESTO PARA DRENAJE, CONFORMADO POR GEODREN (RED DRENANTE DE POLIETILENO DE ALTA DENSIDAD PEAD-HDPE Y GEOTEXTIL NO TEJIDO) CON ALTURA DE 1.0 M Y TUBERIA FLEXIBLE CORRUGADA DE DRENAJE CON DIAMETRO DE 200 MM. (INCLUYE EXCAVACION MANUAL DE 30CM DE ANCHO Y RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE EXCAVACION).
968	Tee Ø12" × Ø6"	UN	4	2129540	2308600	716240	ok (vs INSUMO: IDU es solo material)	TEE HD E.L. D=12" x 6"
966	Tee Ø10" × Ø8"	UN	1	1878320	2738190	859870	ok (vs INSUMO: IDU es solo material)	TEE HD E.L. D=10" x 8"
958	Tee Ø6" × Ø1"	UN	1	754720	2042131	1287411	REVISAR: MUY POR DEBAJO de IDU	EMPATE ORTOGONAL PVC - HG 6"X6" SEGÚN NORMA NS-023, INCLUYE SUMINISTRO E INSTALACIÓN DE TUBERÍA PVC D=6" U.M RDE 21=1 ML, TEE HD 6"X6" PARA PVC=1 UN, UR HD D=6"=1 UN, UZ U.M PVC D=6"=1 UN, UD HD D=6"=1 UN (Suministro e instalación).
636	Instalación tubería PVC presión Ø2"	ML	89.7	5084	21606	1482066	REVISAR: MUY POR DEBAJO de IDU	TUBERIA CONDUIT PVC D=2" (INCLUYE SUMINISTRO E INSTALACIÓN)
637	Instalación tubería PVC presión Ø3"	ML	69.05	7625	31829	1671266	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=3`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
1067	Bordillo prefabricado A-80	UN	53	30774	77801	2492431	REVISAR: MUY POR DEBAJO de IDU	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
638	Instalación tubería PVC presión Ø4"	ML	72.23	10167	46152	2599193	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=4" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
1291	SC - geotextil no tejido	M2	217.32	13091	31461	3992168	REVISAR: MUY POR DEBAJO de IDU	GEOTEXTIL NO TEJIDO CON RESISTENCIA A LA TENSION GRAB DE 1310 N. PARA SUBDRENES/FILTROS. (INCLUYE SUMINISTRO E INSTALACION).
969	Tee Ø12" × Ø8"	UN	8	2268400	2778650	4082000	ok (vs INSUMO: IDU es solo material)	TEE HD E.L. D=12" x 8"
964	Tee Ø8" × Ø6"	UN	3	1380120	3309710	5788770	REVISAR: MUY POR DEBAJO de IDU	TEE PVC U.M. 8" X 6" (SUMINISTRO E INSTALACIÓN)
965	Tee Ø8" × Ø8"	UN	6	1505200	3384809	11277654	REVISAR: MUY POR DEBAJO de IDU	TEE PVC U.M. 8" X 8" (SUMINISTRO E INSTALACIÓN)
1047	M.O. nivelación con arena	M2	140.56	33265	114489	11416778	REVISAR: MUY POR DEBAJO de IDU	PISO EN ADOQUIN DE ARCILLA 26X6X6CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM ARENA NIVELACIÓN Y ARENA DE SELLO)
957	Codo 90° Ø12"	UN	6	1716140	3937485	13328070	REVISAR: MUY POR DEBAJO de IDU	CODO G.RAD. PVC 90º TIPO U.M. D=12" (SUMINISTRO E INSTALACIÓN)
250	Alambre negro	KG	419.68	5348	65653	25309185	REVISAR: MUY POR DEBAJO de IDU	SARDINEL FUNDIDO EN SITIO EN CONCRETO PREMEZCLADO DE 3000PSI. SUMINISTRO Y CONSTRUCCION. (GRAVA COMÚN) E=0.20M H=0.35M (INCLUYE FORMALETA METÁLICA, ACERO DE REFUERZO Y ALAMBRE NEGRO).
1065	Loseta guía 20x20x6	UN	195	2447	137916	26416408	REVISAR: MUY POR DEBAJO de IDU	CENEFA EN LOSETA PREFABRICADA A58 GUIA (20X20X6) CM. SUMINISTRO E INSTALACIÓN. (INCLUYE 4CM DE MORTERO 1:5 HECHO EN OBRA PARA BASE Y ARENA DE PEÑA PARA SELLO)
1323	MAT - Concreto tremie 4000 psi	M3	24.74	780000	2020021	30678172	REVISAR: MUY POR DEBAJO de IDU	PILOTE D=120 CM CON CONCRETO TREMIE DE 4000 PSI. (INCL. EXCAVACIÓN, CARGUE, MOVILIZACIÓN, MONTAJE Y DESMONTAJE EQUIPO Y CONCRETO)
963	Tee Ø8" × Ø4"	UN	20	1257160	3234266	39542120	REVISAR: MUY POR DEBAJO de IDU	TEE PVC U.M. 8" X 4" (SUMINISTRO E INSTALACIÓN)
1296	Instalación tubería PVC flexible Ø20"	ML	92.72	72000	523908	41900910	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=20" (INCLUYE SUMINISTRO E INSTALACIÓN)
714	Instalación tubería PVC flexible Ø10"	ML	213.76	35585	242906	44317003	REVISAR: MUY POR DEBAJO de IDU	TUBERÍA PVC SANITARIA D=10" TIPO U.S. (Incluye suministro e instalación)
986	Unión de reparación según diámetro	UN	7	3180000	9529408	44445856	REVISAR: MUY POR DEBAJO de IDU	EMPATES DE TUBERÍA EN PVC A HA 12" LINEAL SEGÚN NORMA NS-023 (INCLUYE TUBERIA PVC U.M. D=12" RDE 21=1M; TEE HD EXTREMO LISO 12"X12" =1UN; UNION DRESSER HD D=12"=2UN; UNION REPARACION HD EXTREMO LISO D=12"=1UN; UNION PVC U.M. NORMA NTC 382 D=12"=1UN). SUMINISTRO E INSTALACIÓN
639	Instalación tubería PVC presión Ø6"	ML	696.44	15251	93174	54268986	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=6" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
804	CARCAMO	ML	46	107400	1445650	61559500	REVISAR: MUY POR DEBAJO de IDU	CARCAMO AGUAS LLUVIAS 0.45 X 0.60 M. (INCLUYE REJILLA) SUMINISTRO E INSTALACIÓN
1074	Geotextil tejido 2400	M2	12833.74	11840	19656	100302160	ok (vs INSUMO: IDU es solo material)	GEOTEXTIL TEJIDO CON RESISTENCIA A LA TENSION METODO TIRA ANCHA SENTIDO LONGITUDINAL DE 60 KN/M, Y RESISTENCIA A LA TENSION GRAB DE 2400 N
1186	Demarcacion cicloruta	ML	366	27500	343674	115719684	REVISAR: MUY POR DEBAJO de IDU	DEMARCACION PICTOGRAMA CICLORUTA EN PINTURA TERMOPLASTICA (E=2.3MM INCLUYE SUMINISTRO Y APLICACIÓN CON EQUIPO, INCLUYE MICROESFERAS. AREA =2MT2).
967	Tee Ø12" × Ø4"	UN	43	1992800	4865148	123510964	REVISAR: MUY POR DEBAJO de IDU	EMPATE ORTOGONAL PVC-PVC 12"X8" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE 12"X8"HD, 4 UNIONES, TUBERÍA RDE 21) (SUMINISTRO E INSTALACIÓN)
793	ACCESORIOS 4"	UND	548.8	191812	448058	140627942	REVISAR: MUY POR DEBAJO de IDU	ELEMENTO DE VENTILACIÓN PARA CÁMARA DE ACCESORIOS EN HG D= 4". (INCLUYE SUMINISTRO E INSTALACIÓN).
1009	Tendido, conexionado e identificación cable 3x185 mm² Al XLPE 15 kV	ML	1325.76	68377	229288	213329367	REVISAR: MUY POR DEBAJO de IDU	CABLE DE 3X20 XLPE-15-KV-AL (INCLUYE SUMINISTRO E INSTALACIÓN)
713	Instalación tubería PVC flexible Ø8"	ML	2239.83	28468	160366	295429653	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
716	Instalación tubería PVC flexible Ø14"	ML	532.14	49819	641522	314869065	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=14" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
640	Instalación tubería PVC presión Ø8"	ML	2380.67	20334	160366	333369723	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
233	Transporte de tubería en concreto	KG	837.92	49	438466	367358769	REVISAR: MUY POR DEBAJO de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
720	Instalación tubería PVC flexible Ø30"	ML	493.09	106754	1070516	475221370	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=30" (INCLUYE SUMINISTRO E INSTALACIÓN)
226	Instalación de tubería de alcantarillado en concreto	PULG	837.92	4260	817846	681719640	REVISAR: MUY POR DEBAJO de IDU	TUBERIA CONCRETO D=24" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)
1084	Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	ML	619.31	226252	1345327	693050262	REVISAR: MUY POR DEBAJO de IDU	CANALIZACION VIA PUBLICA NUEVE (9) DUCTOS PVC TIPO TDP 9Ø6"+2Ø3"
231	Prueba de hermeticidad	ML	1135.11	15750	833000	927668530	REVISAR: MUY POR DEBAJO de IDU	PRUEBA DE HERMETICIDAD POR EL MÉTODO DE PRESIÓN POSITIVA CON AIRE PARA REDES DE ALCANTARILLADO - TRAMOS DE Ø 27" A Ø 40"
221	Suministro y colocación de recebo	M3	6917.37	101915	243625	980259064	REVISAR: MUY POR DEBAJO de IDU	MURETE CONTENEDOR DE ZONA VERDE H=0.60M A=0.40M. SUMINISTRO Y CONSTRUCCION. (INCLUYE SUMINISTRO Y COLOCACION DE RECEBO COMUN, GEOMEMBRANA DE POLIETILENO DE ALTA DENSIDAD (PEAD-HDPE) CON ESPESOR DE 30 MILS (0,75 MM) Y ACERO DE REFUERZO PARA ANCLAJE).
642	Instalación tubería PVC presión Ø12"	ML	2337.53	30501	533659	1176146539	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
1092	Transporte y disposición final de escombros (21 km)	M3	4453.7	69249	355050	1272872554	REVISAR: MUY POR DEBAJO de IDU	DESCABECE DE PILOTES (INCLUYE COMPRESOR Y MARTILLO DEMOLEDOR, INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE ESCOMBROS EN SITIO AUTORIZADO A 21 KM.
715	Instalación tubería PVC flexible Ø12"	ML	3394.37	42702	533659	1666490975	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
